target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
relative_humidity,120,1446,3.769137024804475,0.3237502394008854,2.7523160847390837,0.3330714260328196,0.8916933280198477,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
relative_humidity,240,1446,5.159080167093905,0.42524257294982004,3.4719915151002496,-0.2180990845401915,0.8122916100125942,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
relative_humidity,480,1446,4.35412621163538,0.3110715813028283,3.331312608309966,-0.36330256355254,0.8729448198422939,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
temperature,60,2742,0.7496833424916765,0.18186092498056114,0.5070641387839286,-0.05407768842167095,0.9682999069124681,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
temperature,120,2742,1.0997371371837499,0.26921600453891087,0.8125268957581857,0.04885747401754321,0.9326086934048824,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
temperature,240,2742,1.4859425000350974,0.3473550802852086,1.0887425894427698,0.12562280703599568,0.8812066868638365,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
temperature,480,2742,1.5773980190505703,0.3267354723173647,1.2074959651020476,0.12473447570133005,0.8794207998001187,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
relative_humidity,60,2742,2.2159088697372784,0.18975512072524514,1.488746729377062,0.013491397749151745,0.9663554012267339,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
relative_humidity,120,2742,3.0606563980506225,0.265068407106543,2.079201312131207,0.04802148185969269,0.9363743644783437,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
relative_humidity,240,2742,4.2965954629975665,0.35796358843950715,3.1657776958485058,0.031347344730302075,0.876975828737317,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
relative_humidity,480,2742,4.793924687589321,0.36879149016073504,3.5682406537746707,0.009515629997225546,0.8631370514960277,4min,4,XGBOOST,SHT_TIME,2,test,2.169849699945189,0.181071599945426
temperature,60,135,1.6903242887945218,0.450279076971175,1.1989117466196326,0.3017916187536708,0.8164364517756028,12min,12,RANDOM_FOREST,SHT_TIME,2,validation,0.13312140002381057,0.02844809996895492
temperature,120,135,1.7570512471274942,0.47673969382360126,1.2892495843621394,0.4184767788555727,0.7942429973117466,12min,12,RANDOM_FOREST,SHT_TIME,2,validation,0.13312140002381057,0.02844809996895492
temperature,240,135,2.1314789796715803,0.5412037265607851,1.6187384146090547,0.2221079031452084,0.7470569250748023,12min,12,RANDOM_FOREST,SHT_TIME,2,validation,0.13312140002381057,0.02844809996895492
temperature,480,135,2.269428621884851,0.3790951690189811,1.7757132039976462,0.7256710684891222,0.7105842240997526,12min,12,RANDOM_FOREST,SHT_TIME,2,validation,0.13312140002381057,0.02844809996895492
relative_humidity,60,135,5.066162649492356,0.4486410427991606,3.646590109249464,0.11262262247698095,0.8065151920787107,12min,12,RANDOM_FOREST,SHT_TIME,2,validation,0.13312140002381057,0.02844809996895492
