resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds
30min,30,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2763955530276637,1.344792330110024,0.8741651609035802,0.8100494900097132,0.13785199995618314,0.0386850000359118
30min,30,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.2954337561751825,1.4374220026623077,0.8559546460626059,0.7410291442523608,0.46443459996953607,0.024773199926130474
30min,30,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.28926832788956625,1.4074243396047175,0.8645054404080827,0.7665240457544327,0.6484722999157384,0.02271190006285906
30min,30,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.2874622930309085,1.3986371438657494,0.8662002611569676,0.7700155874874763,0.24095720006152987,0.023298899992369115
30min,30,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.27185129155738724,1.32268239417111,0.8794756769736561,0.8185398052306566,0.1941346999956295,0.039144700043834746
30min,30,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2685825247466542,1.306778330274858,0.8817443321080632,0.8198946860872529,0.21766149997711182,0.04151789995376021
30min,30,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.2701671157810034,1.3144880992852896,0.8792689416661881,0.81313701210665,0.21030039992183447,0.038996499963104725
30min,30,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2975725776715436,3.887479990829126,0.8824687435065504,0.8230529482520287,0.25707529997453094,0.08305860008113086
30min,30,relative_humidity,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.2976553918384788,3.8885618728339697,0.8824655850040654,0.8215434004663547,0.2900591000216082,0.1138875000178814
30min,30,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2984910857949033,3.899479355753525,0.8821180325692897,0.8213395680537532,0.20217820000834763,0.10831489996053278
30min,30,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2861602413462756,3.7383895421720545,0.8946792759358286,0.8584532006098222,0.11590839992277324,0.03858540009241551
30min,30,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2805997212145339,3.665747059723258,0.896637458661166,0.8533725760357872,0.1489415999967605,0.03883509989827871
30min,30,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.28598430368087996,3.736091097338157,0.891552338538361,0.8424219587093755,0.13857890001963824,0.03963299992028624
30min,30,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.3086719286496773,4.032481607497956,0.8764036960689099,0.8103451346595044,0.45851359993685037,0.022630700026638806
30min,30,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.31241580652619144,4.081391525363846,0.8756435755520181,0.8280836835214647,0.574368399917148,0.023067899979650974
30min,30,relative_humidity,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.32034126409071173,4.184929485552655,0.8697604319400263,0.8133740945942061,0.24361680005677044,0.022872300003655255
30min,30,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.28458332317956625,3.717788726504745,0.8944414554784439,0.8504946632472725,0.20379489997867495,0.04142549994867295
30min,30,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.28675361247730297,3.746141326348723,0.8926723851631971,0.8424329437448446,0.24123220006003976,0.06195450003724545
30min,30,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28341452031963255,3.702519518008553,0.8935328254417404,0.8411720071158694,0.2996023000450805,0.051141400006599724
