resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,window_id,n,base_rmse,hybrid_rmse,gain_pct
12min,12,temperature,120,EXTRA_TREES,0.75,1,34,0.9928236248842272,1.059284168693173,-6.694093708406253
12min,12,temperature,120,EXTRA_TREES,0.75,2,34,0.8309064911780842,0.8655264310640138,-4.166526589152578
12min,12,temperature,120,EXTRA_TREES,0.75,3,34,1.182282449764148,1.271645582581665,-7.558526546287141
12min,12,temperature,120,EXTRA_TREES,0.75,4,33,1.3809002728179114,1.387764221459473,-0.49706331272965765
12min,12,temperature,120,EXTRA_TREES,1.0,1,34,0.9928236248842272,1.08613302643078,-9.398386501674318
12min,12,temperature,120,EXTRA_TREES,1.0,2,34,0.8309064911780842,0.8812095603304931,-6.053998817735518
12min,12,temperature,120,EXTRA_TREES,1.0,3,34,1.182282449764148,1.3140211847532282,-11.142746389863147
12min,12,temperature,120,EXTRA_TREES,1.0,4,33,1.3809002728179114,1.3933707641203623,-0.90306965303173
12min,12,temperature,240,EXTRA_TREES,0.25,1,34,0.8221811161430995,0.8853946125657008,-7.6885123218518565
12min,12,temperature,240,EXTRA_TREES,0.25,2,34,1.2548950632784166,1.2343543467816622,1.63684734268471
12min,12,temperature,240,EXTRA_TREES,0.25,3,34,1.5593132231929732,1.559227296447761,0.005510550666420233
12min,12,temperature,240,EXTRA_TREES,0.25,4,33,1.2562507252578228,1.3489944202429678,-7.382578423277013
12min,12,temperature,240,EXTRA_TREES,0.5,1,34,0.8221811161430995,0.980023026515756,-19.19794887932993
12min,12,temperature,240,EXTRA_TREES,0.5,2,34,1.2548950632784166,1.2235484336344364,2.49794827960252
12min,12,temperature,240,EXTRA_TREES,0.5,3,34,1.5593132231929732,1.5685935984396289,-0.5951578623602302
12min,12,temperature,240,EXTRA_TREES,0.5,4,33,1.2562507252578228,1.4690635358095494,-16.940313448022142
12min,12,temperature,240,EXTRA_TREES,0.75,1,34,0.8221811161430995,1.0979737361906772,-33.54402267730707
12min,12,temperature,240,EXTRA_TREES,0.75,2,34,1.2548950632784166,1.222735444784373,2.5627336846816897
12min,12,temperature,240,EXTRA_TREES,0.75,3,34,1.5593132231929732,1.5872448057115904,-1.791274652402572
12min,12,temperature,240,EXTRA_TREES,0.75,4,33,1.2562507252578228,1.6103574335862787,-28.18758239966643
12min,12,temperature,240,EXTRA_TREES,1.0,1,34,0.8221811161430995,1.2325693483737976,-49.91457772173772
12min,12,temperature,240,EXTRA_TREES,1.0,2,34,1.2548950632784166,1.2319351642302654,1.8296270118529605
12min,12,temperature,240,EXTRA_TREES,1.0,3,34,1.5593132231929732,1.61485923552665,-3.5622100491097246
12min,12,temperature,240,EXTRA_TREES,1.0,4,33,1.2562507252578228,1.7677941398337806,-40.71985028872105
12min,12,temperature,480,EXTRA_TREES,0.25,1,34,0.8758615243337595,0.9249049132993966,-5.599445529125494
12min,12,temperature,480,EXTRA_TREES,0.25,2,34,1.8661474471670134,1.8057192427230833,3.2381259334928667
12min,12,temperature,480,EXTRA_TREES,0.25,3,34,1.8044694913807064,1.7482483699083735,3.1156592971441612
12min,12,temperature,480,EXTRA_TREES,0.25,4,33,1.3109040115183792,1.5789824163977975,-20.449888208741644
12min,12,temperature,480,EXTRA_TREES,0.5,1,34,0.8758615243337595,1.0429453188060511,-19.07650808150147
12min,12,temperature,480,EXTRA_TREES,0.5,2,34,1.8661474471670134,1.775960379544314,4.832794308917652
12min,12,temperature,480,EXTRA_TREES,0.5,3,34,1.8044694913807064,1.7113432720016395,5.160864166664883
12min,12,temperature,480,EXTRA_TREES,0.5,4,33,1.3109040115183792,1.873642994404191,-42.927550601817806
12min,12,temperature,480,EXTRA_TREES,0.75,1,34,0.8758615243337595,1.2099549280574586,-38.14454619157218
12min,12,temperature,480,EXTRA_TREES,0.75,2,34,1.8661474471670134,1.7784111316228979,4.70146749000501
12min,12,temperature,480,EXTRA_TREES,0.75,3,34,1.8044694913807064,1.6950163540620236,6.065668488245474
12min,12,temperature,480,EXTRA_TREES,0.75,4,33,1.3109040115183792,2.1841536404233115,-66.61430747270919
12min,12,temperature,480,EXTRA_TREES,1.0,1,34,0.8758615243337595,1.4086224009217607,-60.827067040449776
12min,12,temperature,480,EXTRA_TREES,1.0,2,34,1.8661474471670134,1.8129408797993336,2.851144878634985
12min,12,temperature,480,EXTRA_TREES,1.0,3,34,1.8044694913807064,1.699860670944712,5.797206377590353
12min,12,temperature,480,EXTRA_TREES,1.0,4,33,1.3109040115183792,2.504626246524005,-91.06099489488741
12min,12,temperature,60,XGBOOST,0.25,1,34,0.7362801710928129,0.7604883299875209,-3.287900427737646
12min,12,temperature,60,XGBOOST,0.25,2,34,0.652639166596397,0.6416235050420673,1.6878640017542677
12min,12,temperature,60,XGBOOST,0.25,3,34,0.8813800183630139,0.8638345040152373,1.9906866484633823
12min,12,temperature,60,XGBOOST,0.25,4,33,0.840362203821248,0.7938054075314647,5.540086890876685
12min,12,temperature,60,XGBOOST,0.5,1,34,0.7362801710928129,0.7901940806038587,-7.322472019180536
12min,12,temperature,60,XGBOOST,0.5,2,34,0.652639166596397,0.6345688990689005,2.768799123983847
12min,12,temperature,60,XGBOOST,0.5,3,34,0.8813800183630139,0.8504128911605964,3.513481875835213
12min,12,temperature,60,XGBOOST,0.5,4,33,0.840362203821248,0.7580648661717615,9.793079374020952
12min,12,temperature,60,XGBOOST,0.75,1,34,0.7362801710928129,0.8248036404302355,-12.023068502039512
12min,12,temperature,60,XGBOOST,0.75,2,34,0.652639166596397,0.631608089011521,3.2224663583333424
12min,12,temperature,60,XGBOOST,0.75,3,34,0.8813800183630139,0.8413125710128229,4.545989983368162
12min,12,temperature,60,XGBOOST,0.75,4,33,0.840362203821248,0.7347207513775237,12.570942858133964
12min,12,temperature,60,XGBOOST,1.0,1,34,0.7362801710928129,0.8637277237555728,-17.309654349864925
12min,12,temperature,60,XGBOOST,1.0,2,34,0.652639166596397,0.6327985410383584,3.040060507172769
12min,12,temperature,60,XGBOOST,1.0,3,34,0.8813800183630139,0.8366745606288605,5.0722113960768995
12min,12,temperature,60,XGBOOST,1.0,4,33,0.840362203821248,0.7249715501786406,13.731061810955982
12min,12,temperature,120,XGBOOST,0.25,1,34,0.9928236248842272,1.0091102773806255,-1.6404376455382557
12min,12,temperature,120,XGBOOST,0.25,2,34,0.8309064911780842,0.8545639205197324,-2.8471831178146108
12min,12,temperature,120,XGBOOST,0.25,3,34,1.182282449764148,1.1445776110649948,3.189156593390597
12min,12,temperature,120,XGBOOST,0.25,4,33,1.3809002728179114,1.3842086988102762,-0.23958471567345846
