resolution,resolution_minutes,model,family,split,target,horizon_minutes,n,mae,rmse,bias,r2,smape_pct,mase
12min,12,PERSISTENCE,reference,test,relative_humidity,480,378.0,16.4605834803057,20.32137750928026,2.93816431510876,-1.410258179071759,25.166166775630106,4.481288794576357
12min,12,SEASONAL_NAIVE_24H,reference,test,relative_humidity,480,378.0,3.444702380952381,4.876725369723876,-0.1992159024103468,0.8611921983698886,5.632544018811397,0.9377982377648812
12min,12,ROLLING_MEAN_6H,reference,test,relative_humidity,480,378.0,17.674800803448953,20.641939082412634,1.8169876543209875,-1.4868996533787353,26.5432476295056,4.811851711188186
12min,12,DIURNAL_CLIMATOLOGY,reference,test,relative_humidity,480,378.0,3.378455687344983,4.4727765404154205,-2.1932825482271876,0.8832352697108308,5.318746893379077,0.9197629982427976
20min,20,PERSISTENCE,reference,validation,temperature,60,239.0,1.046581589958159,1.521987204809523,0.0483821478382149,0.8373481927986627,4.419989353267317,0.9037727364496327
20min,20,SEASONAL_NAIVE_24H,reference,validation,temperature,60,239.0,0.9852559274755929,1.315895730331827,-0.11192538354253832,0.8784150429179666,4.575788501048534,0.8508151244218202
20min,20,ROLLING_MEAN_6H,reference,validation,temperature,60,239.0,2.8119582364791573,3.8966330515737533,0.26504710987137775,-0.06614410550244054,11.946399439863722,2.428259023996832
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,temperature,60,239.0,2.0594417255568063,2.615092183729005,2.0232235154118126,0.519812450225188,9.118879288943187,1.7784254010616023
20min,20,PERSISTENCE,reference,validation,temperature,120,239.0,2.00468549511855,2.8860108616418345,-0.03538842398884236,0.43648039666899974,8.472630808378053,1.731140804527826
20min,20,SEASONAL_NAIVE_24H,reference,validation,temperature,120,239.0,0.9993214783821478,1.32418971526829,-0.040417712691771294,0.8813648108487359,4.570921280179314,0.862961393336217
20min,20,ROLLING_MEAN_6H,reference,validation,temperature,120,239.0,3.5559938013327135,4.75698666596613,0.1812765380443205,-0.5310062874417241,15.173558947903606,3.070768948608089
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,temperature,120,239.0,2.1164086500274775,2.7073122383807644,2.085593562991771,0.5041049204683041,9.335678042962781,1.8276190365220124
20min,20,PERSISTENCE,reference,validation,temperature,240,239.0,3.7476994421199445,5.0616660989244835,-0.3483061366806136,-0.6139407603229912,16.011071943104422,3.2363158426386183
20min,20,SEASONAL_NAIVE_24H,reference,validation,temperature,240,239.0,1.0973305439330547,1.4585423475639567,0.00836541143654114,0.8659895423571237,4.881456505797043,0.9475968600974427
20min,20,ROLLING_MEAN_6H,reference,validation,temperature,240,239.0,4.87131512474818,6.0180487478978435,-0.1316411746474507,-1.2814555245663208,20.955832506327713,4.20661116404518
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,temperature,240,239.0,2.141661875177093,2.744836509889299,2.1025633461871998,0.5253936246164096,9.282671815881269,1.8494263916452371
20min,20,PERSISTENCE,reference,validation,temperature,480,239.0,5.517883542538354,6.696816941499479,-0.55415690376569,-1.6319536788368212,23.876861202286943,4.764953594157578
20min,20,SEASONAL_NAIVE_24H,reference,validation,temperature,480,239.0,1.1162343096234313,1.476616552319811,-0.19706555090655486,0.8720392280987365,4.958494496123829,0.9639211564648931
20min,20,ROLLING_MEAN_6H,reference,validation,temperature,480,239.0,5.910578878041221,6.902187425734599,-0.3374919417325272,-1.7958565369527868,25.6951069215426,5.104064602189566
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,temperature,480,239.0,1.8346564166804094,2.277686830948834,1.7912607094584627,0.6955405853538357,8.11371705156542,1.5843126480128706
20min,20,PERSISTENCE,reference,validation,relative_humidity,60,239.0,3.0458033472803345,4.289020239661387,-0.09879776847977721,0.8546700408101569,4.910619864815857,0.8311323897954842
20min,20,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,60,239.0,3.4956882845188284,4.679351446777567,0.74279009762901,0.8270142657703801,5.35280631118692,0.9538960420693241
20min,20,ROLLING_MEAN_6H,reference,validation,relative_humidity,60,239.0,8.636798000929799,11.529110075256012,-0.6260919727258638,-0.050099693275035495,13.572665071454978,2.356791212112669
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,60,239.0,4.561157796625472,5.884832823093785,-3.3845336058627216,0.7264055898293307,6.961128189094104,1.2446391140546338
20min,20,PERSISTENCE,reference,validation,relative_humidity,120,239.0,5.900403765690377,8.209079756906577,0.16779428172942787,0.4793741302558554,9.442314428707084,1.6100897278596211
20min,20,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,120,239.0,3.5363556485355643,4.821170612308727,0.5992873082287311,0.8204266869698068,5.431024770233208,0.9649932665411842
20min,20,ROLLING_MEAN_6H,reference,validation,relative_humidity,120,239.0,10.915677824267782,14.00663060065672,-0.3594999225166587,-0.5156682183785908,16.979593675726235,2.978647129146462
20min,20,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,120,239.0,4.712940596905734,6.092816751085059,-3.5046377342270625,0.7132040416867365,7.192852250968063,1.2860572842852984
20min,20,PERSISTENCE,reference,validation,relative_humidity,240,239.0,11.207548814504879,14.70522245723786,0.9939449093444905,-0.555335279052745,17.466462926011907,3.0582922690220684
