resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
20min,AR_DIRECT_RIDGE,relative_humidity,60,100.0,3.091627878818071,0.0019054999575018883,0.0004888999974355102
20min,AR_DIRECT_RIDGE,relative_humidity,120,0.01,3.217007902754361,0.005402099923230708,0.00033980002626776695
20min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,2.8663488442849774,0.0033262999495491385,0.00030499999411404133
20min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,2.7525828130185204,0.0019802000606432557,0.0002218000590801239
20min,AR_DIRECT_RIDGE,relative_humidity,120,10.0,3.138733966542948,0.0012790000764653087,0.0002300000051036477
20min,AR_DIRECT_RIDGE,relative_humidity,120,100.0,3.7007332979681853,0.001186499954201281,0.0002294000005349517
20min,AR_DIRECT_RIDGE,relative_humidity,240,0.01,4.3715482528833265,0.005093000014312565,0.0002796000335365534
20min,AR_DIRECT_RIDGE,relative_humidity,240,0.1,4.1274893073287044,0.0035152999917045236,0.0003165999660268426
20min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,3.8289403524879497,0.0021202999632805586,0.0002747999969869852
20min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,3.739191736736952,0.001587799983099103,0.00022040004841983318
20min,AR_DIRECT_RIDGE,relative_humidity,240,100.0,3.999599305919217,0.001199499936774373,0.0002207000507041812
20min,AR_DIRECT_RIDGE,relative_humidity,480,0.01,4.476524293157498,0.004920100094750524,0.00030999991577118635
20min,AR_DIRECT_RIDGE,relative_humidity,480,0.1,4.187200402808017,0.0032235000981017947,0.00024999992456287146
20min,AR_DIRECT_RIDGE,relative_humidity,480,1.0,3.9970657576356436,0.00201489997562021,0.0004463000223040581
20min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,3.871794647402038,0.0017640000442042947,0.00028879998717457056
20min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,3.775354117070866,0.0012008000630885363,0.0002449000021442771
20min,VAR_DIRECT_RIDGE,temperature,60,0.01,0.6655429878660984,0.011093400069512427,0.0004072999581694603
20min,VAR_DIRECT_RIDGE,temperature,60,0.1,0.5959499250123667,0.005590100074186921,0.00033059995621442795
20min,VAR_DIRECT_RIDGE,temperature,60,1.0,0.6262079783977421,0.003154100035317242,0.00030590000096708536
20min,VAR_DIRECT_RIDGE,temperature,60,10.0,0.6975188425189425,0.0021311999298632145,0.0002882999833673239
20min,VAR_DIRECT_RIDGE,temperature,60,100.0,0.8523027128805883,0.0015920000150799751,0.0002470000181347132
