family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,STATISTICAL,60,temperature,60,211,0,-0.10065991954863346,1.1316203353097587,-1.3745085162878692,0.16928386820118746,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,temperature,120,211,1,-0.34913490500016414,4.296286909003096,-2.446740210963507,0.014415470249106667,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,temperature,240,211,3,-0.2375181659705076,7.919485135450752,-1.2259975005647314,0.22019961560699552,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,temperature,480,211,7,-0.6771864962963433,37.13937132002558,-1.6141067102850382,0.10650428213623904,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,relative_humidity,60,2742,14,1.0121722911128759,1954.5237252534312,1.1988578628438566,0.2305832186765574,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,relative_humidity,120,2742,29,3.561176309761669,9450.235949959833,1.918252950556335,0.05507894508972835,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,relative_humidity,240,2742,59,2.7695868791398524,24330.086791336387,0.92977291182927,0.35248867432567377,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,relative_humidity,480,2742,119,-0.5683426768577176,32096.876886395745,-0.16611643624406336,0.8680653196120136,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,temperature,60,2742,14,-0.121648338644626,37.37040536815611,-1.0420198759304626,0.2974024640102464,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,temperature,120,2742,29,0.2634556956084417,179.9108899383203,1.028519645050504,0.3037054547507264,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,4,temperature,240,2742,59,0.5336954039547435,645.102925755253,1.100303975813641,0.2711997004496085,ok,MACHINE_LEARNING_better,1.0,False
