target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
relative_humidity,240,1446,4.960399015743163,0.4088658445153426,0.8264709115028381,3.846803903579712,-0.7530338764190674,4min,4,MLP,SHT_TIME,1,validation,35,3
relative_humidity,480,1446,5.969775685963641,0.4264981678407967,0.7611603736877441,4.730449199676514,-2.5488102436065674,4min,4,MLP,SHT_TIME,1,validation,35,3
temperature,60,1446,2.2402450175477373,0.5172521242501708,0.6716029644012451,1.710806131362915,-0.6113042831420898,4min,4,TCN,SHT_TIME,1,validation,32,3
temperature,120,1446,2.0798042797659035,0.4865347930183068,0.7163863778114319,1.6747636795043945,0.46182453632354736,4min,4,TCN,SHT_TIME,1,validation,32,3
temperature,240,1446,2.607515323407362,0.5712203666618298,0.5845088958740234,1.8994461297988892,-1.1383737325668335,4min,4,TCN,SHT_TIME,1,validation,32,3
temperature,480,1446,2.896236437361189,0.519209792938749,0.5149548053741455,2.167492389678955,-1.508449673652649,4min,4,TCN,SHT_TIME,1,validation,32,3
relative_humidity,60,1446,6.600814433854776,0.5568951158817308,0.6699978113174438,5.521352767944336,-1.0562511682510376,4min,4,TCN,SHT_TIME,1,validation,32,3
relative_humidity,120,1446,6.393434387352455,0.5491644008987886,0.6883695721626282,5.344707012176514,-2.0813021659851074,4min,4,TCN,SHT_TIME,1,validation,32,3
relative_humidity,240,1446,7.502040585437848,0.618363190101931,0.6030846238136292,5.7840471267700195,0.7953661680221558,4min,4,TCN,SHT_TIME,1,validation,32,3
relative_humidity,480,1446,7.394842577555399,0.5283090984832192,0.6335217356681824,5.604916095733643,2.813302755355835,4min,4,TCN,SHT_TIME,1,validation,32,3
temperature,60,58,2.0057869873059913,0.46532591662740325,0.7578485012054443,1.3938653469085693,-1.1609373092651367,60min,60,GRU,SHT_TIME,1,validation,80,3
temperature,120,58,2.5048560663472172,0.5893644084832661,0.589207649230957,1.6950315237045288,-1.4616594314575195,60min,60,GRU,SHT_TIME,1,validation,80,3
temperature,240,58,2.9924837369166184,0.6624026287399222,0.35388559103012085,2.028104305267334,-1.8018759489059448,60min,60,GRU,SHT_TIME,1,validation,80,3
temperature,480,58,2.677754497382909,0.5154237461155521,0.5987731218338013,2.1364710330963135,-1.5792361497879028,60min,60,GRU,SHT_TIME,1,validation,80,3
relative_humidity,60,58,4.222774366337731,0.37401606159587114,0.8694121837615967,3.3542466163635254,0.7204795479774475,60min,60,GRU,SHT_TIME,1,validation,80,3
relative_humidity,120,58,6.4029395505264075,0.5781418433039538,0.6803882122039795,4.424192905426025,2.367640495300293,60min,60,GRU,SHT_TIME,1,validation,80,3
relative_humidity,240,58,7.791515029274859,0.6731719386964085,0.4814426898956299,4.965488910675049,3.270660161972046,60min,60,GRU,SHT_TIME,1,validation,80,3
relative_humidity,480,58,6.317057861990682,0.4877781270902684,0.7450087070465088,4.639468193054199,0.8468754291534424,60min,60,GRU,SHT_TIME,1,validation,80,3
temperature,60,58,2.0854037741441345,0.4837963497037226,0.7382432818412781,1.4132617712020874,-0.7796815633773804,60min,60,LSTM,SHT_TIME,1,validation,80,3
temperature,120,58,2.453594575877082,0.5773031573739522,0.6058492660522461,1.6403805017471313,-1.1121615171432495,60min,60,LSTM,SHT_TIME,1,validation,80,3
temperature,240,58,2.8877465014908354,0.6392184693016904,0.39832228422164917,1.9713770151138306,-1.3910386562347412,60min,60,LSTM,SHT_TIME,1,validation,80,3
temperature,480,58,2.501266444817987,0.48145269563778953,0.6499191522598267,1.8760056495666504,-1.1936112642288208,60min,60,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,60,58,5.340537550083562,0.47301765332525547,0.7911295890808105,4.287281036376953,1.0374501943588257,60min,60,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,120,58,6.388274788943626,0.5768177151865198,0.6818505525588989,4.865435600280762,1.5278023481369019,60min,60,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,240,58,7.337266762972803,0.6339257606518162,0.5401443243026733,4.95646333694458,2.3749842643737793,60min,60,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,480,58,6.228431411609274,0.4809347444709934,0.752113401889801,4.403995037078857,1.6099387407302856,60min,60,LSTM,SHT_TIME,1,validation,80,3
temperature,60,58,2.565240092799037,0.5951143890679639,0.6039285659790039,1.8541756868362427,-1.719939112663269,60min,60,MLP,SHT_TIME,2,validation,66,3
temperature,120,58,2.1204397974334936,0.4989155918891571,0.7056198120117188,1.5202443599700928,-1.234281063079834,60min,60,MLP,SHT_TIME,2,validation,66,3
temperature,240,58,2.343022551496005,0.5186408461176938,0.6039055585861206,1.68222177028656,-1.1687761545181274,60min,60,MLP,SHT_TIME,2,validation,66,3
temperature,480,58,1.6901773477080215,0.32533137037272775,0.8401498794555664,1.3422080278396606,-0.35964757204055786,60min,60,MLP,SHT_TIME,2,validation,66,3
relative_humidity,60,58,5.709780136124408,0.5057219007757873,0.7612487077713013,4.611448287963867,1.284010887145996,60min,60,MLP,SHT_TIME,2,validation,66,3
relative_humidity,120,58,6.2763194000291,0.5667089058804045,0.6929040551185608,5.110565662384033,0.26399949193000793,60min,60,MLP,SHT_TIME,2,validation,66,3
relative_humidity,240,58,6.700565302899299,0.5789159769784085,0.6164907217025757,4.639672756195068,1.8875831365585327,60min,60,MLP,SHT_TIME,2,validation,66,3
relative_humidity,480,58,4.9096195774358735,0.379101330797802,0.8459749817848206,3.876253366470337,-1.1351903676986694,60min,60,MLP,SHT_TIME,2,validation,66,3
temperature,60,58,2.6165200364482697,0.6070109099518839,0.5879350900650024,2.15576434135437,-1.595086693763733,60min,60,TCN,SHT_TIME,1,validation,77,3
temperature,120,58,2.5036312434294654,0.5890762214516375,0.5896093249320984,1.7107938528060913,-1.251071810722351,60min,60,TCN,SHT_TIME,1,validation,77,3
