resolution,architecture,candidate_id,seed,training_scope,epoch,loss,val_loss
4min,MLP,1,2028,train_with_validation_monitoring,32,0.1465223878622055,0.18428027629852295
4min,MLP,1,2028,train_with_validation_monitoring,33,0.1392761617898941,0.157908633351326
4min,MLP,1,2028,train_with_validation_monitoring,34,0.13605110347270966,0.17037361860275269
4min,MLP,1,2028,train_with_validation_monitoring,35,0.14320051670074463,0.172857865691185
4min,MLP,1,2028,train_with_validation_monitoring,36,0.1361769586801529,0.1580045521259308
4min,MLP,1,2028,train_with_validation_monitoring,37,0.13593830168247223,0.1644524186849594
4min,MLP,1,2028,train_with_validation_monitoring,38,0.13632550835609436,0.1662352979183197
4min,MLP,1,2028,train_with_validation_monitoring,39,0.13137389719486237,0.16515755653381348
4min,MLP,2,2026,train_with_validation_monitoring,1,1.384024977684021,0.6169552803039551
4min,MLP,2,2026,train_with_validation_monitoring,2,0.713967502117157,0.3110714852809906
4min,MLP,2,2026,train_with_validation_monitoring,3,0.4793543219566345,0.24171163141727448
4min,MLP,2,2026,train_with_validation_monitoring,4,0.36258822679519653,0.20821119844913483
4min,MLP,2,2026,train_with_validation_monitoring,5,0.3088861405849457,0.25808900594711304
4min,MLP,2,2026,train_with_validation_monitoring,6,0.27483391761779785,0.2305324822664261
4min,MLP,2,2026,train_with_validation_monitoring,7,0.2595358192920685,0.21704743802547455
4min,MLP,2,2026,train_with_validation_monitoring,8,0.2421240508556366,0.25394394993782043
4min,MLP,2,2026,train_with_validation_monitoring,9,0.21933923661708832,0.21638895571231842
4min,MLP,2,2026,train_with_validation_monitoring,10,0.20999273657798767,0.18274210393428802
4min,MLP,2,2026,train_with_validation_monitoring,11,0.19002173840999603,0.1916588693857193
4min,MLP,2,2026,train_with_validation_monitoring,12,0.19057278335094452,0.19487668573856354
4min,MLP,2,2026,train_with_validation_monitoring,13,0.17900177836418152,0.20893488824367523
4min,MLP,2,2026,train_with_validation_monitoring,14,0.17879176139831543,0.1588270515203476
4min,MLP,2,2026,train_with_validation_monitoring,15,0.16977623105049133,0.20048615336418152
4min,MLP,2,2026,train_with_validation_monitoring,16,0.174735888838768,0.19323964416980743
4min,MLP,2,2026,train_with_validation_monitoring,17,0.17262263596057892,0.1639176309108734
4min,MLP,2,2026,train_with_validation_monitoring,18,0.15486270189285278,0.2083469033241272
4min,MLP,2,2026,train_with_validation_monitoring,19,0.16566230356693268,0.1781211793422699
4min,MLP,2,2026,train_with_validation_monitoring,20,0.15912634134292603,0.17395491898059845
4min,MLP,2,2026,train_with_validation_monitoring,21,0.14909331500530243,0.1599109023809433
4min,MLP,2,2026,train_with_validation_monitoring,22,0.14408867061138153,0.19230689108371735
4min,MLP,2,2026,train_with_validation_monitoring,23,0.15124790370464325,0.16205663979053497
4min,MLP,2,2026,train_with_validation_monitoring,24,0.14578837156295776,0.17040178179740906
4min,MLP,2,2027,train_with_validation_monitoring,1,1.3302996158599854,0.4677903950214386
4min,MLP,2,2027,train_with_validation_monitoring,2,0.6712062358856201,0.28215962648391724
4min,MLP,2,2027,train_with_validation_monitoring,3,0.4416063725948334,0.20055001974105835
4min,MLP,2,2027,train_with_validation_monitoring,4,0.3612399995326996,0.21587100625038147
4min,MLP,2,2027,train_with_validation_monitoring,5,0.31254035234451294,0.1739540994167328
4min,MLP,2,2027,train_with_validation_monitoring,6,0.2750161290168762,0.22592735290527344
4min,MLP,2,2027,train_with_validation_monitoring,7,0.2510567307472229,0.22910046577453613
4min,MLP,2,2027,train_with_validation_monitoring,8,0.2483394742012024,0.17595455050468445
4min,MLP,2,2027,train_with_validation_monitoring,9,0.2408791482448578,0.1964268535375595
4min,MLP,2,2027,train_with_validation_monitoring,10,0.23211829364299774,0.2434787154197693
4min,MLP,2,2027,train_with_validation_monitoring,11,0.21264497935771942,0.17616362869739532
