resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
20min,relative_humidity,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,7560,70.21066666666667,1.4637966000009328,0.8727124000433832,24884.409602785097,24919.062735130967,ok
30min,temperature,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,5040,22.767544642857146,0.2143677999265492,0.390157200046815,13749.828254083466,13769.403738166662,ok
30min,temperature,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,5040,22.767544642857146,0.32817859994247556,0.41104819998145103,10160.051840038916,10186.152485483177,ok
30min,temperature,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,5040,22.767544642857146,0.5578141999430954,0.3908034999622032,11339.01998526278,11365.12063070704,ok
30min,temperature,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,5040,22.767544642857146,0.33370869990903884,0.5089593000011519,10434.84100893449,10460.940860649212,ok
30min,temperature,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,22.767544642857146,0.1736760000931099,0.382289299974218,10536.879794602955,10556.426570333104,ok
30min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,22.767544642857146,0.20043780002743006,0.40850360004696995,10072.81281039109,10098.875178031287,ok
30min,temperature,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,22.767544642857146,0.41278800007421523,0.45457219996023923,10050.443025548971,10076.505393189169,ok
30min,temperature,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}",train,5040,22.767544642857146,62.28808359999675,6.946310199913569,9816.397840388505,9842.459406666383,ok
30min,temperature,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}",train,5040,22.767544642857146,173.38926349999383,12.65946230001282,7303.323908314047,7335.851535246789,ok
